,MAKE,MODEL,MODEL_DESCRIPTION,VARIANT,YEAR,CC,HORSEPOWER,PRICE,TRANSMISSION,CURRENCY,TAX_RATE,PRICE_INCLUDE_TAX
3924,BMW,3,325i,Executive,2010,2.5,218,300000000.0,0,Rp,,300000000.0
3925,BMW,5,523i,F10 Executive,2010,2.5,206,300000000.0,0,Rp,,300000000.0
3926,JAGUAR,XF,XF,3.0 V6 Luxury,2010,3.0,345,300000000.0,0,Rp,,300000000.0
3927,LEXUS,RX,RX 350,350,2010,3.5,295,300000000.0,0,Rp,,300000000.0
3928,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,250 CGI,2010,2.5,203,300000000.0,0,Rp,,300000000.0
3929,MITSUBISHI,PAJERO SPORT,Pajero Sport,Exceed 4x4 A/T,2010,2.5,134,300000000.0,Automatic Transmission,Rp,,300000000.0
3930,TOYOTA,VELLFIRE,Vellfire,Z Audioless,2010,2.4,172,300000000.0,0,Rp,,300000000.0
3931,VOLKSWAGEN,GOLF,Golf,2.0 GTI,2010,2.0,200,300000000.0,0,Rp,,300000000.0
3932,BMW,X1,X1,3.5 Petrol,2011,3.5,300,300000000.0,0,Rp,,300000000.0
3933,BMW,X3,X3,3.5 Petrol,2011,3.5,300,300000000.0,0,Rp,,300000000.0
3934,INFINITI,FX37,Fx37,A/T,2011,3.7,325,300000000.0,Automatic Transmission,Rp,,300000000.0
3935,INFINITI,M37,M37,A/T,2011,3.7,330,300000000.0,Automatic Transmission,Rp,,300000000.0
3936,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,Avantgarde,2011,2.0,184,300000000.0,0,Rp,,300000000.0
3937,MERCEDES-BENZ,V-CLASS,V-Class,Viano 2.2 CDI,2011,2.2,162,300000000.0,0,Rp,,300000000.0
3938,NISSAN,ELGRAND,Elgrand,All New 3.5 V6 HWS,2011,3.5,243,300000000.0,0,Rp,,300000000.0
3939,AUDI,A5,A5,2.0 TFSI,2012,2.0,211,300000000.0,0,Rp,,300000000.0
3940,AUDI,A6,A6,2.0 TFSI,2012,2.0,170,300000000.0,0,Rp,,300000000.0
3941,AUDI,A6,A6,2.8 FSI Quattro,2012,2.8,204,300000000.0,0,Rp,,300000000.0
3942,BMW,3,320i,F30 Luxury,2012,2.0,184,300000000.0,0,Rp,,300000000.0
3943,BMW,5,523i,F10,2012,2.5,204,300000000.0,0,Rp,,300000000.0
3944,BMW,X3,X3,2.0 Diesel,2012,2.0,150,300000000.0,0,Rp,,300000000.0
3945,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,200 CGI Classic Facelift,2012,2.0,184,300000000.0,0,Rp,,300000000.0
3946,TOYOTA,FORTUNER,Fortuner,Diesel TRD A/T,2012,2.5,149,300000000.0,Automatic Transmission,Rp,,300000000.0
3947,TOYOTA,HARRIER,Harrier - New,2.4 L Premium 4x2 A/T,2012,2.4,160,300000000.0,Automatic Transmission,Rp,,300000000.0
3948,TOYOTA,HIACE,Hiace,Commuter 2.5 M/T,2012,2.5,89,300000000.0,Manual Transmission,Rp,,300000000.0
3949,VOLVO,XC 60,XC 60,T5,2012,2.0,254,300000000.0,0,Rp,,300000000.0
3950,AUDI,Q3,Q3,2.0 Turbo,2013,2.0,200,300000000.0,0,Rp,,300000000.0
3951,AUDI,Q5,Q5,2.0 FSI Quattro,2013,2.0,255,300000000.0,0,Rp,,300000000.0
3952,BMW,3,320i,F30 Sport,2013,2.0,184,300000000.0,0,Rp,,300000000.0
3953,BMW,5,523i,F10 Executive,2013,2.5,206,300000000.0,0,Rp,,300000000.0
3954,DODGE,JOURNEY,Journey,Luxury,2013,2.4,283,300000000.0,0,Rp,,300000000.0
3955,HONDA,CR-Z,CR-Z,1.5 AT,2013,1.5,130,300000000.0,0,Rp,,300000000.0
3956,MERCEDES-BENZ,A-CLASS,A-Class,A 200 Urban,2013,2.0,156,300000000.0,0,Rp,,300000000.0
3957,TOYOTA,HILUX,Hilux Double Cabin,New VNT V A/T,2013,3.0,163,300000000.0,Automatic Transmission,Rp,,300000000.0
3958,VOLKSWAGEN,TIGUAN,Tiguan,2.0 TSI,2013,2.0,200,300000000.0,0,Rp,,300000000.0
3959,CHEVROLET,TRAILBLAZER,Trailblazer,LT M/T 4x4,2014,2.8,200,300000000.0,Manual Transmission,Rp,,300000000.0
3960,CHEVROLET,TRAILBLAZER,Trailblazer,M/T 4x4,2014,2.5,275,300000000.0,Manual Transmission,Rp,,300000000.0
3961,MITSUBISHI,PAJERO SPORT,Pajero Sport,Dakar,2014,2.5,180,300000000.0,0,Rp,,300000000.0
3962,MITSUBISHI,PAJERO SPORT,Pajero Sport,GLX 4X4 M/T,2014,2.5,134,300000000.0,Manual Transmission,Rp,,300000000.0
3963,VOLKSWAGEN,GOLF,Golf,MK VII 1.4 TSI,2014,1.4,140,300000000.0,0,Rp,,300000000.0
3964,AUDI,A4,A4,1.8 TFSI,2015,1.8,167,300000000.0,0,Rp,,300000000.0
3965,HONDA,ACCORD,Accord,All New 2.4 VTi-L A/T,2015,2.4,176,300000000.0,Automatic Transmission,Rp,,300000000.0
3966,HONDA,CR-V,CR-V,Grand New CRV 2.4 A/T,2015,2.4,190,300000000.0,Automatic Transmission,Rp,,300000000.0
3967,MAZDA,CX-5,CX-5,Grand Touring I-Stop 2.5,2015,2.5,190,300000000.0,0,Rp,,300000000.0
3968,MERCEDES-BENZ,B-CLASS,B-Class,B 200 Sport,2015,2.0,156,300000000.0,0,Rp,,300000000.0
3969,HONDA,CR-V,CR-V,Grand New CRV 2.0 M/T,2016,2.0,153,300000000.0,Manual Transmission,Rp,,300000000.0
3970,HYUNDAI,H1,H1,Petrol Royale,2016,2.4,175,300000000.0,0,Rp,,300000000.0
3971,HYUNDAI,SANTA FE,Santa Fe,All New 2.2 CRDi,2016,2.2,197,300000000.0,0,Rp,,300000000.0
3972,MAZDA,CX-5,CX-5,Touring,2016,2.0,187,300000000.0,0,Rp,,300000000.0
3973,TOYOTA,COROLLA ALTIS,Corolla Altis - New,1.8 V A/T,2016,1.8,150,300000000.0,Automatic Transmission,Rp,,300000000.0
3974,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,2.0 Q A/T,2016,2.0,139,300000000.0,Automatic Transmission,Rp,,300000000.0
3975,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 V M/T,2016,2.4,149,300000000.0,Manual Transmission,Rp,,300000000.0
3976,CHEVROLET,CAPTIVA,Captiva,Diesel A/T Facelift 2,2017,2.0,163,300000000.0,Automatic Transmission,Rp,,300000000.0
3977,HYUNDAI,TUCSON,Tucson,New XG,2017,2.0,157,300000000.0,0,Rp,,300000000.0
3978,MAZDA,BIANTE,Biante,Skyactive,2017,2.0,150,300000000.0,0,Rp,,300000000.0
3979,NISSAN,SERENA,Serena - C 26,Highway Star,2017,2.0,146,300000000.0,0,Rp,,300000000.0
3980,HONDA,HR-V,HR-V,1.8 E Prestige,2018,1.8,137,300000000.0,0,Rp,,300000000.0
3981,AUDI,A8,A8,2.8T FSI,2010,2.8,210,310000000.0,0,Rp,,310000000.0
3982,TOYOTA,VELLFIRE,Vellfire,ZG,2010,2.4,172,310000000.0,0,Rp,,310000000.0
3983,TOYOTA,VELLFIRE,Vellfire,ZG Audioless,2010,2.4,172,310000000.0,0,Rp,,310000000.0
3984,NISSAN,MURANO,Murano,2.5,2011,2.5,172,310000000.0,0,Rp,,310000000.0
3985,TOYOTA,VELLFIRE,Vellfire,X,2011,2.4,172,310000000.0,0,Rp,,310000000.0
3986,BMW,3,325i,E90 Triptronic,2012,2.5,210,310000000.0,0,Rp,,310000000.0
3987,NISSAN,ELGRAND,Elgrand,All New 2.5 HWS,2012,2.5,168,310000000.0,0,Rp,,310000000.0
3988,PEUGEOT,5008,5008,Tiptronic,2013,1.4,156,310000000.0,Tiptronic,Rp,,310000000.0
3989,CHEVROLET,TRAILBLAZER,Trailblazer,LTZ A/T 4x4,2014,2.8,200,310000000.0,Automatic Transmission,Rp,,310000000.0
3990,NISSAN,TEANA,Teana,All New Teana,2014,2.5,172,310000000.0,0,Rp,,310000000.0
3991,TOYOTA,FORTUNER,Fortuner,Diesel M/T Facelift,2014,2.5,144,310000000.0,Manual Transmission,Rp,,310000000.0
3992,BMW,X1,X1,1.8 sDrive,2015,1.8,150,310000000.0,0,Rp,,310000000.0
3993,TOYOTA,FORTUNER,Fortuner,Diesel A/T Facelift,2015,2.5,144,310000000.0,Automatic Transmission,Rp,,310000000.0
3994,TOYOTA,HILUX,Hilux Double Cabin,New VNT G M/T,2015,3.0,163,310000000.0,Manual Transmission,Rp,,310000000.0
3995,DODGE,JOURNEY,Journey,Platinum,2016,2.4,283,310000000.0,0,Rp,,310000000.0
3996,HYUNDAI,TUCSON,Tucson,New Diesel,2016,2.0,178,310000000.0,0,Rp,,310000000.0
3997,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,2.0 Q A/T Luxury,2016,2.0,139,310000000.0,Automatic Transmission,Rp,,310000000.0
3998,HONDA,CR-V,CR-V,Grand New CRV 2.0 A/T,2017,2.0,153,310000000.0,Automatic Transmission,Rp,,310000000.0
3999,MAZDA,CX-5,CX-5,Touring,2017,2.0,187,310000000.0,0,Rp,,310000000.0
4000,MAZDA,MAZDA3,Mazda3,Allnew Mazda3,2017,2.0,184,310000000.0,0,Rp,,310000000.0
4001,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,2.0 Q A/T,2017,2.0,139,310000000.0,Automatic Transmission,Rp,,310000000.0
4002,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,2.0 V A/T,2018,2.0,139,310000000.0,Automatic Transmission,Rp,,310000000.0
4003,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 G A/T,2018,2.4,149,310000000.0,Automatic Transmission,Rp,,310000000.0
4004,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 G M/T,2018,2.4,149,310000000.0,Manual Transmission,Rp,,310000000.0
4005,TOYOTA,VELLFIRE,Vellfire,V,2008,2.4,172,315000000.0,0,Rp,,315000000.0
4006,TOYOTA,VELLFIRE,Vellfire,Z,2010,2.4,172,315000000.0,0,Rp,,315000000.0
4007,FIAT,500,500,1.4 Lounge Cabrio,2014,1.4,101,315000000.0,0,Rp,,315000000.0
4008,HONDA,CR-V,CR-V,Grand New CR-V 2.4 Prestige Prestige,2015,2.4,190,315000000.0,0,Rp,,315000000.0
4009,LAND ROVER,DEFENDER,Defender,110 TDi 300,2002,2.5,112,320000000.0,0,Rp,,320000000.0
4010,MERCEDES-BENZ,S-CLASS,S-Class,S 350,2006,3.5,245,320000000.0,0,Rp,,320000000.0
4011,AUDI,Q7,Q7,New 4.2 FSI Quattro,2007,4.2,253,320000000.0,0,Rp,,320000000.0
4012,LEXUS,LS,LS 460,L,2007,4.6,380,320000000.0,0,Rp,,320000000.0
4013,TOYOTA,LAND CRUISER PRADO,Land Cruiser Prado,2.7,2007,2.7,166,320000000.0,0,Rp,,320000000.0
4014,AUDI,Q7,Q7,3.0 TDI Quattro,2008,3.0,244,320000000.0,0,Rp,,320000000.0
4015,CHRYSLER,300C,300C,A/T,2008,3.5,363,320000000.0,Automatic Transmission,Rp,,320000000.0
4016,MITSUBISHI,PAJERO,Pajero,DID Diesel Facelift,2008,4.0,171,320000000.0,0,Rp,,320000000.0
4017,VOLKSWAGEN,TOUAREG,Touareg,3.0 TDi V6,2009,3.0,224,320000000.0,0,Rp,,320000000.0
4018,BMW,X5,X5,New Model 3.0 A/T,2010,3.0,340,320000000.0,Automatic Transmission,Rp,,320000000.0
4019,TOYOTA,ALPHARD,Alphard,2.4 S,2010,2.4,168,320000000.0,0,Rp,,320000000.0
4020,TOYOTA,ALPHARD,Alphard,3.5 V,2010,3.5,280,320000000.0,0,Rp,,320000000.0
4021,BMW,3,325i,M Edition,2011,2.5,218,320000000.0,0,Rp,,320000000.0
4022,MITSUBISHI,PAJERO SPORT,Pajero Sport,Exceed 4x4 A/T,2011,2.5,134,320000000.0,Automatic Transmission,Rp,,320000000.0
4023,BMW,5,520d,F10 Diesel,2012,2.0,190,320000000.0,0,Rp,,320000000.0
4024,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,Avantgarde,2012,2.0,184,320000000.0,0,Rp,,320000000.0
4025,AUDI,A3,A3,2.0 FSI turbo,2013,2.0,150,320000000.0,0,Rp,,320000000.0
4026,BMW,3,320i,F30 Luxury,2013,2.0,184,320000000.0,0,Rp,,320000000.0
4027,FIAT,500,500,1.4 Abarth 595 Turismo Cabrio Soft Top,2013,1.4,136,320000000.0,0,Rp,,320000000.0
4028,TOYOTA,HARRIER,Harrier - New,2.4 L Premium 4x2 A/T,2013,2.4,160,320000000.0,Automatic Transmission,Rp,,320000000.0
4029,TOYOTA,HIACE,Hiace,Commuter 2.5 M/T,2013,2.5,89,320000000.0,Manual Transmission,Rp,,320000000.0
4030,HONDA,ODYSSEY,Odyssey,New Odyssey,2014,2.4,173,320000000.0,0,Rp,,320000000.0
4031,MITSUBISHI,PAJERO SPORT,Pajero Sport,Dakar 4x4,2014,2.5,180,320000000.0,0,Rp,,320000000.0
4032,TOYOTA,FORTUNER,Fortuner,Diesel TRD A/T,2014,2.5,149,320000000.0,Automatic Transmission,Rp,,320000000.0
4033,TOYOTA,HILUX,Hilux Double Cabin,New VNT V A/T,2014,3.0,163,320000000.0,Automatic Transmission,Rp,,320000000.0
4034,BMW,X1,X1,1.8 sDrive X-Line,2015,1.8,152,320000000.0,0,Rp,,320000000.0
4035,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 Q A/T,2015,2.4,149,320000000.0,Automatic Transmission,Rp,,320000000.0
4036,HONDA,CR-V,CR-V,Grand New CRV 2.4 A/T,2016,2.4,190,320000000.0,Automatic Transmission,Rp,,320000000.0
4037,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 V A/T,2016,2.4,149,320000000.0,Automatic Transmission,Rp,,320000000.0
4038,CHEVROLET,CAPTIVA,Captiva,Diesel M/T Facelift 2,2017,2.0,186,320000000.0,Manual Transmission,Rp,,320000000.0
4039,CHEVROLET,TRAILBLAZER,Trailblazer,LTZ A/T 4x2 Facelift,2017,2.5,200,320000000.0,Automatic Transmission,Rp,,320000000.0
4040,HONDA,CR-V,CR-V,Grand New CRV 2.0 M/T,2017,2.0,153,320000000.0,Manual Transmission,Rp,,320000000.0
4041,HYUNDAI,H1,H1,XG Petrol,2017,2.4,175,320000000.0,0,Rp,,320000000.0
4042,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 V M/T,2017,2.4,149,320000000.0,Manual Transmission,Rp,,320000000.0
4043,MERCEDES-BENZ,S-CLASS,S-Class,S 600,2002,6.0,530,325000000.0,0,Rp,,325000000.0
4044,LAND ROVER,RANGE ROVER,Range Rover,Vogue 4.4,2005,4.4,284,325000000.0,0,Rp,,325000000.0
4045,TOYOTA,VELLFIRE,Vellfire,G,2009,2.4,172,325000000.0,0,Rp,,325000000.0
4046,TOYOTA,VELLFIRE,Vellfire,V,2009,2.4,172,325000000.0,0,Rp,,325000000.0
4047,MERCEDES-BENZ,R-CLASS,R-Class,R 280,2010,2.8,192,325000000.0,0,Rp,,325000000.0
4048,FIAT,500,500,1.4 Abarth,2013,1.4,136,325000000.0,0,Rp,,325000000.0
4049,ISUZU,MU-X,MU-X,4x2 A/T,2017,2.5,136,325000000.0,Automatic Transmission,Rp,,325000000.0
4050,BMW,7,740i,E66,2006,4.0,286,330000000.0,0,Rp,,330000000.0
4051,MAZDA,RX-8,RX-8,M/T,2008,1.3,232,330000000.0,Manual Transmission,Rp,,330000000.0
4052,BMW,5,528i,F10 Executive,2010,2.8,245,330000000.0,0,Rp,,330000000.0
4053,SUBARU,IMPREZA,Impreza,WRX STI 4 Door M/T,2010,2.5,300,330000000.0,Manual Transmission,Rp,,330000000.0
4054,BMW,5,520i,F10,2011,2.0,184,330000000.0,0,Rp,,330000000.0
4055,BMW,5,523i,F10 Executive,2011,2.5,206,330000000.0,0,Rp,,330000000.0
4056,MAZDA,MX-5,MX-5,A/T,2011,2.0,160,330000000.0,Automatic Transmission,Rp,,330000000.0
4057,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,250 Avantgarde AMG,2011,2.5,201,330000000.0,0,Rp,,330000000.0
4058,AUDI,A6,A6,2.0 TFSI S-Line,2012,2.0,252,330000000.0,0,Rp,,330000000.0
4059,MERCEDES-BENZ,V-CLASS,V-Class,Viano 3.5,2012,3.5,231,330000000.0,0,Rp,,330000000.0
4060,TOYOTA,ALPHARD,Alphard,2.4 X,2012,2.4,168,330000000.0,0,Rp,,330000000.0
4061,TOYOTA,CAMRY,Camry,All New Hybrid,2012,2.5,180,330000000.0,0,Rp,,330000000.0
4062,BMW,3,320i,F30 Diesel Modern,2013,2.0,150,330000000.0,0,Rp,,330000000.0
4063,BMW,3,320i,F30 Diesel Modern,2013,2.0,210,330000000.0,0,Rp,,330000000.0
4064,BMW,5,523i,F10,2013,2.5,204,330000000.0,0,Rp,,330000000.0
4065,MITSUBISHI,PAJERO SPORT,Pajero Sport,Exceed 4x4 A/T,2013,2.5,134,330000000.0,Automatic Transmission,Rp,,330000000.0
4066,RENAULT,KOLEOS,Koleos,2.5 CVT,2013,2.5,169,330000000.0,CVT,Rp,,330000000.0
4067,AUDI,Q3,Q3,2.0 Turbo,2014,2.0,200,330000000.0,0,Rp,,330000000.0
4068,BMW,1,116i,Sport Line,2014,1.6,137,330000000.0,0,Rp,,330000000.0
4069,HONDA,CR-Z,CR-Z,1.5 AT,2014,1.5,130,330000000.0,0,Rp,,330000000.0
4070,MAZDA,MAZDA6,Mazda6,2.5 A/T Facelift,2014,2.5,171,330000000.0,Automatic Transmission,Rp,,330000000.0
4071,NISSAN,SERENA,Serena - C 26,Highway Star Panoramic,2015,2.0,146,330000000.0,0,Rp,,330000000.0
4072,TOYOTA,FORTUNER,Fortuner,Diesel M/T Facelift,2015,2.5,144,330000000.0,Manual Transmission,Rp,,330000000.0
4073,TOYOTA,HILUX,Hilux Double Cabin,All New 2.5 VNT G M/T,2015,2.5,149,330000000.0,Manual Transmission,Rp,,330000000.0
4074,CHEVROLET,TRAILBLAZER,Trailblazer,LTZ A/T 4x2,2016,2.5,200,330000000.0,Automatic Transmission,Rp,,330000000.0
4075,HYUNDAI,SANTA FE,Santa Fe,All New 2.4 MPi,2016,2.4,185,330000000.0,0,Rp,,330000000.0
4076,MAZDA,CX-5,CX-5,Grand Touring I-Stop 2.5,2016,2.5,190,330000000.0,0,Rp,,330000000.0
4077,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,Venturer,2017,2.0,139,330000000.0,0,Rp,,330000000.0
4078,TOYOTA,HILUX,Hilux Double Cabin,New VNT V A/T,2015,3.0,163,335000000.0,Automatic Transmission,Rp,,335000000.0
4079,TOYOTA,LAND CRUISER CYGNUS,Land Cruiser Cygnus,4.7 V8,2003,4.7,235,340000000.0,0,Rp,,340000000.0
4080,BMW,7,730i,E66,2009,3.0,218,340000000.0,0,Rp,,340000000.0
4081,MERCEDES-BENZ,M-CLASS,M-Class,ML 350 New,2009,3.5,235,340000000.0,0,Rp,,340000000.0
4082,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,CLC 200,2010,2.0,184,340000000.0,0,Rp,,340000000.0
4083,TOYOTA,ALPHARD,Alphard,2.4 G,2010,2.4,168,340000000.0,0,Rp,,340000000.0
4084,AUDI,A6,A6,2.8 FSI S-Line,2011,2.8,204,340000000.0,0,Rp,,340000000.0
4085,AUDI,A6,A6,3.0 Quattro Multitronic,2011,3.0,204,340000000.0,0,Rp,,340000000.0
4086,AUDI,Q5,Q5,2.0 FSI Quattro S-Line,2011,2.0,252,340000000.0,0,Rp,,340000000.0
4087,LEXUS,RX,RX 350,350,2011,3.5,295,340000000.0,0,Rp,,340000000.0
4088,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,250 CGI,2011,2.5,203,340000000.0,0,Rp,,340000000.0
4089,MERCEDES-BENZ,C-CLASS,C-Class New Model - W204,300 Avantgarde,2011,3.0,231,340000000.0,0,Rp,,340000000.0
4090,VOLKSWAGEN,GOLF,Golf,2.0 GTI,2011,2.0,200,340000000.0,0,Rp,,340000000.0
4091,AUDI,A6,A6,2.0 TFSI,2013,2.0,170,340000000.0,0,Rp,,340000000.0
4092,AUDI,A6,A6,2.8 FSI Quattro,2013,2.8,204,340000000.0,0,Rp,,340000000.0
4093,AUDI,Q3,Q3,1.4 TFSI,2014,1.4,150,340000000.0,0,Rp,,340000000.0
4094,MAZDA,CX-9,CX-9,3.7 L Facelift,2014,3.7,273,340000000.0,0,Rp,,340000000.0
4095,BMW,2,218i,Active Tourer,2015,1.8,136,340000000.0,0,Rp,,340000000.0
4096,NISSAN,TEANA,Teana,All New Teana,2015,2.5,172,340000000.0,0,Rp,,340000000.0
4097,TOYOTA,FORTUNER,Fortuner,Diesel TRD A/T,2015,2.5,149,340000000.0,Automatic Transmission,Rp,,340000000.0
4098,VOLKSWAGEN,GOLF,Golf,MK VII 1.4 TSI,2015,1.4,140,340000000.0,0,Rp,,340000000.0
4099,HONDA,CR-V,CR-V,Grand New CR-V 2.4 Prestige Prestige,2016,2.4,190,340000000.0,0,Rp,,340000000.0
4100,HONDA,CR-V,CR-V,Grand New CRV 2.4 A/T,2017,2.4,190,340000000.0,Automatic Transmission,Rp,,340000000.0
4101,HYUNDAI,H1,H1,Petrol Royale,2017,2.4,175,340000000.0,0,Rp,,340000000.0
4102,HYUNDAI,SANTA FE,Santa Fe,All New 2.2 CRDi,2017,2.2,197,340000000.0,0,Rp,,340000000.0
4103,HYUNDAI,SANTA FE,Santa Fe,All New 2.4 MPi,2017,2.4,185,340000000.0,0,Rp,,340000000.0
4104,NISSAN,X-TRAIL,X-Trail,All New Xtrail 2.5 A/T,2017,2.5,171,340000000.0,Automatic Transmission,Rp,,340000000.0
4105,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 V A/T,2017,2.4,149,340000000.0,Automatic Transmission,Rp,,340000000.0
4106,CHEVROLET,CAPTIVA,Captiva,Diesel A/T Facelift 2,2018,2.0,163,340000000.0,Automatic Transmission,Rp,,340000000.0
4107,MAZDA,MAZDA3,Mazda3,Allnew,2018,2.0,184,340000000.0,0,Rp,,340000000.0
4108,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Bensin,Venturer,2018,2.0,139,340000000.0,0,Rp,,340000000.0
4109,TOYOTA,KIJANG INNOVA,Kijang Innova Reborn - Diesel,2.4 V M/T,2018,2.4,149,340000000.0,Manual Transmission,Rp,,340000000.0
4110,TOYOTA,VELLFIRE,Vellfire,Z Audioless,2011,2.4,172,345000000.0,0,Rp,,345000000.0
4111,TOYOTA,HILUX,Hilux Double Cabin,All New 2.5 VNT G M/T,2016,2.5,149,345000000.0,Manual Transmission,Rp,,345000000.0
4112,TOYOTA,LAND CRUISER 80,Land Cruiser 80,VX Turbo,2000,4.2,167,350000000.0,0,Rp,,350000000.0
4113,LEXUS,LX,LX 470,LX 470,2003,4.7,230,350000000.0,0,Rp,,350000000.0
4114,MERCEDES-BENZ,S-CLASS,S-Class,S 500,2003,5.0,455,350000000.0,0,Rp,,350000000.0
4115,MERCEDES-BENZ,S-CLASS,S-Class,S 600,2003,6.0,530,350000000.0,0,Rp,,350000000.0
4116,LAND ROVER,DISCOVERY,Discovery,Disco 3 TDS,2004,2.5,190,350000000.0,0,Rp,,350000000.0
4117,LAND ROVER,DEFENDER,Defender,110 TDi 300,2006,2.5,112,350000000.0,0,Rp,,350000000.0
4118,AUDI,TT,TT,2.0 TFSI,2007,2.0,200,350000000.0,0,Rp,,350000000.0
4119,MERCEDES-BENZ,S-CLASS,S-Class,S 350,2007,3.5,245,350000000.0,0,Rp,,350000000.0
4120,MERCEDES-BENZ,S-CLASS,S-Class,S 350 L,2007,3.5,245,350000000.0,0,Rp,,350000000.0
4121,BMW,X6,X6,xDrive 3.0i,2008,3.0,305,350000000.0,0,Rp,,350000000.0
4122,LEXUS,IS,IS 250,I S 250,2008,2.5,-,350000000.0,0,Rp,,350000000.0
4123,LEXUS,LS,LS 460,L,2008,4.6,380,350000000.0,0,Rp,,350000000.0
4124,MITSUBISHI,PAJERO,Pajero,V6 Super Exceed,2008,4.0,220,350000000.0,0,Rp,,350000000.0
4125,PEUGEOT,207,207,CC A/T,2008,1.4,76,350000000.0,Automatic Transmission,Rp,,350000000.0
4126,TOYOTA,CROWN,New Crown,3.0 Royal Salon,2008,3.0,256,350000000.0,0,Rp,,350000000.0
4127,VOLKSWAGEN,TOUAREG,Touareg,2.5 RS TDi,2009,3.0,174,350000000.0,0,Rp,,350000000.0
4128,TOYOTA,VELLFIRE,Vellfire,G,2010,2.4,172,350000000.0,0,Rp,,350000000.0
4129,VOLKSWAGEN,TOUAREG,Touareg,3.0 TDi V6,2010,3.0,224,350000000.0,0,Rp,,350000000.0
4130,BMW,X3,X3,3.0 Petrol,2011,3.0,231,350000000.0,0,Rp,,350000000.0
4131,JAGUAR,XF,XF,3.0 V6 Luxury,2011,3.0,345,350000000.0,0,Rp,,350000000.0
4132,SUBARU,IMPREZA,Impreza,WRX STI 4 Door M/T,2011,2.5,300,350000000.0,Manual Transmission,Rp,,350000000.0
4133,TOYOTA,ALPHARD,Alphard,2.4 S,2011,2.4,168,350000000.0,0,Rp,,350000000.0
4134,BMW,3,325i,M Edition,2012,2.5,218,350000000.0,0,Rp,,350000000.0
4135,BMW,5,520i,F10,2012,2.0,184,350000000.0,0,Rp,,350000000.0
4136,BMW,X1,X1,2.0 Petrol,2012,2.0,192,350000000.0,0,Rp,,350000000.0
4137,INFINITI,FX37,Fx37,A/T,2012,3.7,325,350000000.0,Automatic Transmission,Rp,,350000000.0
4138,INFINITI,M37,M37,A/T,2012,3.7,330,350000000.0,Automatic Transmission,Rp,,350000000.0
4139,TOYOTA,VELLFIRE,Vellfire,X,2012,2.4,172,350000000.0,0,Rp,,350000000.0
4140,BMW,3,320i,F30 Diesel,2013,2.0,183,350000000.0,0,Rp,,350000000.0
4141,BMW,5,520d,F10 Diesel,2013,2.0,190,350000000.0,0,Rp,,350000000.0
4142,BMW,X3,X3,2.0 Diesel,2013,2.0,150,350000000.0,0,Rp,,350000000.0
4143,BMW,3,320i,F30 Sport,2014,2.0,184,350000000.0,0,Rp,,350000000.0
4144,MERCEDES-BENZ,A-CLASS,A-Class,A 200 Urban,2014,2.0,156,350000000.0,0,Rp,,350000000.0
4145,TOYOTA,HIACE,Hiace,Commuter 2.5 M/T,2014,2.5,89,350000000.0,Manual Transmission,Rp,,350000000.0
4146,MAZDA,MAZDA6,Mazda6,2.5 A/T Facelift,2015,2.5,171,350000000.0,Automatic Transmission,Rp,,350000000.0
4147,MITSUBISHI,PAJERO SPORT,Pajero Sport,Dakar 4x4,2015,2.5,180,350000000.0,0,Rp,,350000000.0
4148,AUDI,A4,A4,1.8 TFSI,2016,1.8,167,350000000.0,0,Rp,,350000000.0
4149,NISSAN,SERENA,Serena - C 26,Highway Star Panoramic,2016,2.0,146,350000000.0,0,Rp,,350000000.0
4150,PEUGEOT,3008,3008,Tiptronic Facelift,2016,1.4,164,350000000.0,Tiptronic,Rp,,350000000.0
4151,TOYOTA,FORTUNER,Fortuner - All New,G Diesel A/T,2016,2.4,147,350000000.0,Automatic Transmission,Rp,,350000000.0
4152,VOLKSWAGEN,SCIROCCO,Scirocco,1.4 TSI A/T,2016,1.4,160,350000000.0,Automatic Transmission,Rp,,350000000.0
